VaMe,time
0.0045,0.181
0.0,0.182
-0.0015,0.183
-0.0068,0.184
-0.0083,0.185
-0.0083,0.186
-0.012,0.187
-0.0091,0.188
-0.0053,0.189
-0.0008,0.19
0.0052,0.191
0.0082,0.192
0.012,0.193
0.0142,0.194
0.012,0.195
0.0067,0.196
0.003,0.197
0.0007,0.198
0.0007,0.199
0.0,0.2
0.0007,0.201
0.0052,0.202
0.0045,0.203
0.0015,0.204
-0.003,0.205
-0.0053,0.206
-0.0015,0.207
0.0007,0.208
0.0052,0.209
0.0067,0.21
0.0045,0.211
0.0015,0.212
-0.0015,0.213
-0.0023,0.214
-0.003,0.215
-0.0008,0.216
0.003,0.217
0.0015,0.218
0.0007,0.219
-0.0008,0.22
0.0015,0.221
0.0015,0.222
0.0015,0.223
0.003,0.224
0.0022,0.225
0.0067,0.226
0.0075,0.227
0.0052,0.228
0.0045,0.229
0.0015,0.23
0.0007,0.231
0.0007,0.232
-0.0008,0.233
-0.0008,0.234
-0.0023,0.235
0.0015,0.236
0.003,0.237
0.0045,0.238
0.003,0.239
0.0015,0.24
0.0045,0.241
0.0045,0.242
0.0052,0.243
0.0052,0.244
0.0037,0.245
0.006,0.246
0.0052,0.247
0.0015,0.248
-0.0008,0.249
-0.0015,0.25
-0.0015,0.251
-0.0015,0.252
0.0,0.253
0.0,0.254
0.0037,0.255
0.0037,0.256
0.0,0.257
-0.0008,0.258
-0.0038,0.259
-0.0038,0.26
-0.0038,0.261
-0.0046,0.262
-0.0008,0.263
0.0007,0.264
0.003,0.265
0.003,0.266
0.003,0.267
0.0015,0.268
-0.0008,0.269
0.0037,0.27
0.003,0.271
0.0007,0.272
0.0015,0.273
0.0007,0.274
0.0015,0.275
0.0022,0.276
0.003,0.277
0.0045,0.278
0.0,0.279
0.0007,0.28
0.0007,0.281
0.0007,0.282
-0.0008,0.283
-0.0015,0.284
0.0,0.285
-0.0008,0.286
-0.0008,0.287
-0.003,0.288
-0.0008,0.289
0.003,0.29
0.0037,0.291
0.0075,0.292
0.0052,0.293
0.0052,0.294
0.0067,0.295
0.0052,0.296
0.0045,0.297
0.0007,0.298
-0.0008,0.299
0.0007,0.3
0.0015,0.301
0.003,0.302
0.003,0.303
0.0007,0.304
-0.0046,0.305
-0.006,0.306
-0.0053,0.307
-0.0023,0.308
0.0007,0.309
0.0022,0.31
0.0015,0.311
0.003,0.312
0.003,0.313
0.0015,0.314
0.003,0.315
0.003,0.316
0.0022,0.317
0.0015,0.318
0.0,0.319
0.0007,0.32
0.0007,0.321
0.0007,0.322
0.0,0.323
-0.0008,0.324
-0.0015,0.325
-0.0008,0.326
0.0015,0.327
0.003,0.328
0.0022,0.329
0.0037,0.33
0.003,0.331
0.0037,0.332
-0.0008,0.333
-0.0053,0.334
-0.0038,0.335
-0.0023,0.336
0.0015,0.337
0.0015,0.338
0.0,0.339
0.0007,0.34
-0.0008,0.341
-0.0008,0.342
-0.0023,0.343
0.0015,0.344
0.0037,0.345
0.0045,0.346
0.0082,0.347
0.0082,0.348
0.0082,0.349
0.0082,0.35
0.0052,0.351
0.0052,0.352
0.0052,0.353
0.0037,0.354
0.003,0.355
0.0015,0.356
0.0007,0.357
-0.0008,0.358
-0.0015,0.359
0.0007,0.36
-0.0023,0.361
-0.003,0.362
0.003,0.363
0.0015,0.364
0.0015,0.365
0.0007,0.366
-0.0015,0.367
0.0015,0.368
0.0007,0.369
-0.0008,0.37
0.0007,0.371
0.0015,0.372
0.0007,0.373
0.0022,0.374
0.0045,0.375
0.0007,0.376
-0.003,0.377
-0.003,0.378
-0.0015,0.379
0.0,0.38
-0.0023,0.381
-0.0015,0.382
-0.0008,0.383
-0.0015,0.384
-0.0015,0.385
-0.0023,0.386
-0.0046,0.387
-0.0046,0.388
-0.0015,0.389
-0.003,0.39
-0.0046,0.391
0.0007,0.392
0.0022,0.393
0.0075,0.394
0.0105,0.395
0.012,0.396
0.0135,0.397
0.0105,0.398
0.009,0.399
0.0067,0.4
0.0045,0.401
0.0022,0.402
-0.0008,0.403
-0.003,0.404
-0.0083,0.405
-0.0091,0.406
-0.0091,0.407
-0.0068,0.408
-0.0008,0.409
0.0022,0.41
0.0067,0.411
0.0082,0.412
0.0075,0.413
0.0082,0.414
0.0075,0.415
0.0082,0.416
0.0067,0.417
0.0067,0.418
0.0045,0.419
0.0015,0.42
0.0007,0.421
-0.0008,0.422
0.003,0.423
0.0045,0.424
0.0045,0.425
0.0045,0.426
0.0007,0.427
0.0007,0.428
-0.0023,0.429
-0.0015,0.43
-0.0015,0.431
-0.003,0.432
-0.0015,0.433
-0.0053,0.434
-0.0046,0.435
0.0,0.436
0.0045,0.437
0.0067,0.438
0.0045,0.439
0.0037,0.44
-0.0008,0.441
-0.0046,0.442
-0.003,0.443
-0.0046,0.444
-0.003,0.445
-0.0053,0.446
-0.0046,0.447
-0.0015,0.448
0.0,0.449
0.0045,0.45
0.003,0.451
0.0045,0.452
0.006,0.453
0.0037,0.454
0.003,0.455
0.0007,0.456
0.003,0.457
0.0037,0.458
0.0015,0.459
-0.003,0.46
-0.0053,0.461
-0.0008,0.462
0.0015,0.463
-0.0008,0.464
-0.003,0.465
-0.0053,0.466
-0.0015,0.467
0.0007,0.468
-0.003,0.469
-0.0008,0.47
0.003,0.471
0.0037,0.472
0.0045,0.473
0.0052,0.474
0.0112,0.475
0.0142,0.476
0.0142,0.477
0.015,0.478
0.0105,0.479
0.0067,0.48
0.003,0.481
0.0037,0.482
0.0052,0.483
0.0015,0.484
-0.0008,0.485
-0.0053,0.486
-0.006,0.487
-0.006,0.488
-0.0068,0.489
-0.0053,0.49
-0.0075,0.491
-0.0068,0.492
-0.0046,0.493
-0.0008,0.494
0.0015,0.495
0.0045,0.496
0.0052,0.497
0.003,0.498
0.003,0.499
0.0007,0.5
0.0007,0.501
0.0,0.502
-0.0015,0.503
0.0,0.504
0.0007,0.505
-0.0008,0.506
-0.003,0.507
-0.003,0.508
0.0007,0.509
0.0067,0.51
0.0105,0.511
0.0105,0.512
0.009,0.513
0.0052,0.514
0.003,0.515
0.0007,0.516
0.0,0.517
0.0,0.518
-0.0015,0.519
0.0,0.52
0.0015,0.521
-0.0015,0.522
-0.003,0.523
-0.0023,0.524
-0.006,0.525
-0.0091,0.526
-0.0068,0.527
-0.0053,0.528
-0.0008,0.529
0.003,0.53
0.006,0.531
0.009,0.532
0.0112,0.533
0.0142,0.534
0.0157,0.535
0.0195,0.536
0.0195,0.537
0.0142,0.538
0.009,0.539
0.0007,0.54
-0.003,0.541
-0.0068,0.542
-0.0105,0.543
-0.0083,0.544
-0.0083,0.545
-0.006,0.546
-0.0053,0.547
-0.006,0.548
-0.0046,0.549
-0.0068,0.55
-0.0053,0.551
-0.0008,0.552
0.0,0.553
0.003,0.554
0.0037,0.555
0.0037,0.556
0.0037,0.557
0.0037,0.558
0.0045,0.559
-0.0008,0.56
-0.0008,0.561
0.0007,0.562
-0.0015,0.563
-0.0023,0.564
-0.0015,0.565
0.0045,0.566
0.0067,0.567
0.0037,0.568
0.0007,0.569
-0.0091,0.57
-0.015,0.571
-0.0165,0.572
-0.0165,0.573
-0.0091,0.574
-0.0038,0.575
0.0015,0.576
0.003,0.577
0.0052,0.578
0.009,0.579
0.009,0.58
0.0105,0.581
0.0112,0.582
0.0105,0.583
0.0082,0.584
0.0082,0.585
0.009,0.586
0.0105,0.587
0.0135,0.588
0.0112,0.589
0.012,0.59
0.0105,0.591
0.0082,0.592
0.009,0.593
0.0052,0.594
0.0015,0.595
-0.0023,0.596
-0.0046,0.597
-0.006,0.598
-0.0083,0.599
-0.0068,0.6
-0.0053,0.601
-0.0046,0.602
-0.0046,0.603
-0.003,0.604
-0.0015,0.605
0.0007,0.606
0.0022,0.607
0.003,0.608
0.003,0.609
0.0075,0.61
0.0082,0.611
0.0067,0.612
0.0112,0.613
0.0127,0.614
0.0112,0.615
0.0082,0.616
0.0015,0.617
0.003,0.618
-0.0008,0.619
-0.0015,0.62
-0.0015,0.621
0.0,0.622
0.0052,0.623
0.0037,0.624
0.0045,0.625
0.0015,0.626
-0.0015,0.627
-0.0046,0.628
-0.0105,0.629
-0.0105,0.63
-0.0113,0.631
-0.0105,0.632
-0.0075,0.633
-0.0053,0.634
-0.0053,0.635
-0.0091,0.636
-0.0068,0.637
-0.0068,0.638
-0.003,0.639
0.0007,0.64
0.006,0.641
0.0142,0.642
0.0127,0.643
0.012,0.644
0.0105,0.645
0.0097,0.646
0.0067,0.647
0.003,0.648
0.0037,0.649
0.0015,0.65
0.003,0.651
0.006,0.652
0.0067,0.653
0.003,0.654
0.0,0.655
0.0007,0.656
0.0,0.657
0.0015,0.658
-0.0008,0.659
-0.0008,0.66
-0.003,0.661
-0.0068,0.662
-0.003,0.663
-0.0023,0.664
-0.0008,0.665
-0.0015,0.666
-0.0038,0.667
-0.0008,0.668
0.0,0.669
0.0015,0.67
0.0052,0.671
0.009,0.672
0.0075,0.673
0.0052,0.674
0.003,0.675
0.0015,0.676
0.0037,0.677
0.0015,0.678
-0.0023,0.679
-0.0053,0.68
-0.0053,0.681
-0.0046,0.682
-0.0068,0.683
-0.0068,0.684
-0.006,0.685
-0.003,0.686
0.0022,0.687
0.0067,0.688
0.0135,0.689
0.0135,0.69
0.012,0.691
0.0082,0.692
0.003,0.693
0.0052,0.694
0.0052,0.695
0.0052,0.696
0.003,0.697
-0.0038,0.698
-0.003,0.699
-0.003,0.7
0.0,0.701
0.0045,0.702
0.0082,0.703
0.0082,0.704
0.0052,0.705
0.003,0.706
0.0022,0.707
-0.003,0.708
-0.0023,0.709
-0.006,0.71
-0.0053,0.711
-0.0015,0.712
-0.0015,0.713
0.003,0.714
0.0,0.715
-0.0015,0.716
-0.0038,0.717
-0.0105,0.718
-0.0091,0.719
-0.0098,0.72
-0.0083,0.721
-0.0083,0.722
-0.0046,0.723
0.0052,0.724
0.0112,0.725
0.0157,0.726
0.0157,0.727
0.0157,0.728
0.0157,0.729
0.0142,0.73
0.0097,0.731
0.006,0.732
0.0007,0.733
-0.0038,0.734
-0.0091,0.735
-0.0135,0.736
-0.0091,0.737
-0.0105,0.738
-0.012,0.739
-0.0075,0.74
-0.0046,0.741
0.0045,0.742
0.0127,0.743
0.0187,0.744
0.0217,0.745
0.0202,0.746
0.018,0.747
0.0105,0.748
0.0045,0.749
-0.0038,0.75
-0.0098,0.751
-0.012,0.752
-0.0128,0.753
-0.0113,0.754
-0.0068,0.755
-0.003,0.756
0.0007,0.757
0.006,0.758
0.0105,0.759
0.0097,0.76
0.009,0.761
0.0067,0.762
0.0015,0.763
0.0007,0.764
-0.0015,0.765
-0.0015,0.766
0.0007,0.767
-0.0015,0.768
-0.0023,0.769
-0.0023,0.77
0.0015,0.771
0.0067,0.772
0.0105,0.773
0.0142,0.774
0.0112,0.775
0.003,0.776
-0.0075,0.777
-0.0113,0.778
-0.0091,0.779
-0.0083,0.78
-0.0091,0.781
-0.0128,0.782
-0.0128,0.783
-0.012,0.784
-0.0091,0.785
-0.003,0.786
0.0022,0.787
0.012,0.788
0.0195,0.789
0.0187,0.79
0.0165,0.791
0.0112,0.792
0.009,0.793
0.0217,0.794
0.03,0.795
0.018,0.796
0.003,0.797
-0.0128,0.798
-0.0256,0.799
-0.024,0.8
-0.024,0.801
-0.0203,0.802
-0.015,0.803
-0.0075,0.804
-0.0015,0.805
-0.0015,0.806
0.003,0.807
0.0052,0.808
0.0067,0.809
0.0075,0.81
0.003,0.811
-0.0008,0.812
-0.003,0.813
-0.0008,0.814
-0.003,0.815
-0.0015,0.816
0.0037,0.817
0.0052,0.818
0.0075,0.819
0.012,0.82
0.0165,0.821
0.015,0.822
0.0082,0.823
0.003,0.824
0.0015,0.825
0.003,0.826
0.0037,0.827
0.0052,0.828
0.0015,0.829
-0.003,0.83
-0.0083,0.831
-0.012,0.832
-0.0083,0.833
-0.006,0.834
-0.0038,0.835
-0.0008,0.836
-0.0038,0.837
-0.0068,0.838
-0.0008,0.839
0.0037,0.84
0.009,0.841
0.018,0.842
0.0217,0.843
0.0247,0.844
0.0247,0.845
0.0247,0.846
0.0172,0.847
0.0067,0.848
0.0022,0.849
0.0,0.85
-0.0008,0.851
-0.0068,0.852
-0.0091,0.853
-0.0105,0.854
-0.0135,0.855
-0.0113,0.856
-0.0083,0.857
-0.0083,0.858
-0.0083,0.859
-0.0046,0.86
-0.0008,0.861
0.0015,0.862
0.0007,0.863
0.0022,0.864
0.0045,0.865
0.0067,0.866
0.0067,0.867
0.0007,0.868
-0.0015,0.869
-0.003,0.87
-0.0008,0.871
-0.003,0.872
-0.0083,0.873
-0.0091,0.874
-0.0091,0.875
-0.0046,0.876
0.0007,0.877
0.0015,0.878
0.0052,0.879
0.0045,0.88
0.0045,0.881
0.0052,0.882
0.0067,0.883
0.009,0.884
0.0045,0.885
0.003,0.886
